,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
939,Senior Accounts Payable Accountant,Giza Seeds and Herbs -,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Accounts Payable,Accounting,Oracle,SAP,ERP systems,Payable"
940,Sales Representative (K-account ),Confidential -,"Giza, Giza, Egypt ",Full Time,Experienced,0 - 2 Yrs of Exp,"Customer Service/Support,Sales/Retail,Customer Service,sales skills,Sales Target,Sales"
941,Financial Accountant,Gila Electric -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"Accounting/Finance,Accounting,excel"
942,Senior Light current technical Support,Johnson Controls -,"Nasr City, Cairo, Egypt ",Full Time,Senior Management,4 - 6 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Engineering,HVAC,Project Management,Communication skills,Technical Support,Light Current,technical,CCTV"
943,Architect - Technical Office manager,Riwaq -,"Zamalek, Cairo, Egypt ",Full Time,Manager,9 - 12 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Creative/Design/Art,Architecture,CAD,Design,Drawings,Engineering,Interior Design,Technical Office,technical"
944,Full Stack - PHP Laravel Developer,IKEN Technology -,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT),Engineering,Back-End,PHP,Laravel,Restful APIs,Database Design,Programming"
945,HR Specialist,Naia Developments -,"Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Administration,Human Resources,Training/Instructor,Management,Microsoft Office,Recruitment,Communication,HR,Human Resources (HR),Administration"
946,Knowledge Management Executive,ITCAN TECHNOLOGY and DIGITAL MARKETING -,"Cairo, Egypt ",Full Time,Not specified,Administration,"Operations/Management,Sales/Retail,Administration,Microsoft Office,Office Management,Secretary,Management,Admin,Operations"
947,Media buyer Manager,Pioneers Now -,"Nasr City, Cairo, Egypt ",Full Time,Manager,4 - 8 Yrs of Exp,"males_only,Marketing/PR/Advertising,Media Buyer,Marketing,Digital Marketing,Social Media,Manager"
948,Customer Care coordinator,Ahram Security Group -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,"Customer Service/Support,Logistics/Supply Chain,Sales/Retail,care,cutomer,English Training,Order Tracking,Sales,Customer Support,Oracle"
949,Procurement Coordinator,Elmon -,"Alexandria, Egypt ",Full Time,Entry Level,1+ Yrs of Exp,"Administration,business,Administration,Business Administration,Negotiation,Procurement,Purchasing,Supply,Supply Chain,supply chain management"
950,Customer Service Team Manager,Souq.com for E-Commerce LLC -,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"Operations/Management,Sales/Retail,Customer Service,Customer Support,Customer Care,Call Center,Management,Communication Skills,Sales"
951,infection control supervisor,Saudi German Hospital  -,"New Nozha, Cairo, Egypt ",Full Time,Experienced,7 - 9 Yrs of Exp,"Medical/Healthcare,Communication,Microbiology,MEDICINE,Infection,Supervisor,Research"
952,Senior SQL Database Administrator,Confidential -,"Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"IT/Software Development,Database Administrator,Azure,SQL,SQL Server,Software Development,Database"
953,Electrical Maintenance Engineer,GPS -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,Communication,Electrical,Electrical Engineering,Electrical manufacturing"
954,Resale sales manager,MENASSAT -,"New Cairo, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Sales/Retail,Sales Manager,Sales,sales skills,Sales Target,Skills"
