,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
117,Data Engineer,Carina Wear -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,"Analyst/Research,Engineering - Other,Engineering,Data Engineering,Data Warehousing,Data Warehouse,Analysis,SQL,Computer Science,Information Technology (IT)"
118,Internal Auditor,Arma Non Food -,"10th of Ramadan City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Audit,Auditing,SAP,English,ERP,Finance,Internal audit,Financial Analysis"
119,Accountant,Mimo for women clothes -,"New Cairo, Cairo, Egypt ",Part Time,Manager,3 - 5 Yrs of Exp,"females_preferred,Accounting/Finance,accountant,Financial Analysis,Financial Reports,Financial Transactions,Accounting"
120,Accountant,Al Rabat -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Microsoft Office,Microsoft Excel,Analytical Skills,Financial Analysis,Financial Management"
121,Accountant,Confidential -,"Wadi Alnatrun, Beheira, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Manufacturing/Production,accountant,Accounting,Finance,Financial Analysis,Financial Management"
122,Accountant,Rashideen Egypt for Trade  -,"Abu Rawash, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Accounting/Finance,Finance,Accounting,SAP,Accountant,MS,MS Excel,FMCG,Financial Management,Financial Analysis"
123,Tax Manager,Alarabia Group -,"Cairo, Egypt ",Full Time,Manager,7 - 15 Yrs of Exp,"males_only,Accounting/Finance,Accounting,Finance,Financial Analysis,Financial Management,Tax,Management,business,English"
124,Data Analyst,ITCan -,"Rehab City, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Analyst/Research,BI,Analysis,analytical,Computer Science,Data Analysis,Development,Engineering,Information Technology (IT),Power BI"
125,Social Media Specialist,Qawafil For Real Estate Investment -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Marketing/PR/Advertising,Media/Journalism/Publishing,Digital Marketing,Social Media Strategy,Content Creation,Research Analysis,Moderation,Research,Online Marketing,Social Media"
126,Bank Accountant,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,5 - 6 Yrs of Exp,"Accounting/Finance,Banking,Accounting,Banking,Financial Analysis,Finance,Commerce,Microsoft Office,Business Administration,English"
127,Accountant,travel -,"Cairo, Egypt ",Full Time,Senior Management,4 - 7 Yrs of Exp,"Accounting/Finance,Administration,Banking,accountant,Financial Analysis"
128,"Insurance Examiner (Full-time, Remote)",Intaratalent -,"Alexandria, Egypt ",Full Time,Not specified,Accounting/Finance,"Administration,Medical/Healthcare,finance,accounting,financial analysis,financial management,auditing,insurance,software"
129,"Senior Examiner (Full-time, Remote)",Intaratalent -,"Alexandria, Egypt ",Full Time,Not specified,Accounting/Finance,"IT/Software Development,Sales/Retail,finance,accounting,financial analysis,financial management,communication skills,quality,software"
130,Senior Contracts Lawyer,Evapharma So -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Engineering - Construction/Civil/Architecture,Legal,Contracting,Engineering,Legal,Civil Engineering,English,Law,Contracts"
131,Accountant,Four Seasons Hotels Limited -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Administration,Banking,Accounting,Finance,Financial Analysis,Financial Management,Microsoft Office,Commerce,Microsoft Excel"
132,AR Accountant,Target Recruitment  & HR Solutions  -,"Cairo, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,"Accounting/Finance,Accounting,Bookkeeping,Bookkeeping software,Communication,Computer Skills,English,Finance,Financial Analysis,Typing"
133,Formulation Pharmacist-Borg Alarab (Alexandria),Pharaonia Pharma -,"Bourj Alarab, Alexandria, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Pharmaceutical,Pharmacy,CTD,Pharmaceutical Science,Analysis,Pharmaceutical,Formulation,Research&development"
134,Internal Audit Manager,Confidential -,"10th of Ramadan City, Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,"Accounting/Finance,Operations/Management,Analyst/Research,Procedures,Accounting,Auditing,Financial Analysis,Microsoft Office,Analytical,Analysis"
135,Consumer Finance Director,Antal International - Egypt -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,C-Level Executive/GM/Director,Finance,Accounting,Financial Management,Financial Analysis,Microsoft Office,CPA,MBA"
136,Financial Planning And Analysis Head,SSC Egypt -,"Cairo, Egypt ",Work From Home,Manager,5 - 10 Yrs of Exp,"Accounting/Finance,Accounting,Financial Management,Financial Analysis"
137,Financial Analyst,econstruct -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Banking,Analyst/Research,Finance,Financial Analysis,Accounting,Commerce,Microsoft Office,Financial Management,Analysis"
138,Training & OD Specialist,International Group For Modern Coating  -,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,1 - 4 Yrs of Exp,"males_preferred,Human Resources,Training/Instructor,Human Resources (HR),HR Specialist,Microsoft Office,Recruitment,Personnel,specialist,OD,Analysis"
139,QC Supervisor - Raw Materials analysis -Global Pharmaceutical Industries(GPI) Sterile Area,Global Napi Pharmaceuticals -,"6th of October, Giza, Egypt ",Full Time,Experienced,7 - 8 Yrs of Exp,"Quality,Analyst/Research,Pharmaceutical,Quality Control,Pharmaceutical,HPLC,GC Analysis,Computer Skills,Chemistry,QC"
140,Chartered Accountant,تاكس اجيبت للتطبيقات -,"Mokattam, Cairo, Egypt ",Full Time,Experienced,5 - 15 Yrs of Exp,"Accounting/Finance,Chartered Accountant,Accounting,Finance,Financial Analysis"
141,Warranty & TAC Engineer,Mansour Automotive -,"Alexandria, Egypt ",Full Time,Not specified,Customer Service/Support,"Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,Engineering,Mechanical Engineering,Warranty,Automotive,Computer Skills,Warranty Engineering,Analysis"
142,Accounting Manager,El Nasr Group -,"Heliopolis, Cairo, Egypt ",Full Time,Manager,14 - 16 Yrs of Exp,"males_preferred,Accounting/Finance,Accounting,Communication skills,Construction,Computer Skills,Finance,ERP,Financial Analysis,Financial Management,Management"
143,Treasury Accountant,MedVAlley S.A.E -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,"males_only,Accounting/Finance,Banking,Accounting Software,ERP,excel,Finance,Treasury,Accounting,Financial Analysis"
144,Credit Accountant,Confidential -,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Accounting/Finance,accountant,Accounting,credit,Finance,Financial Analysis"
145,"Retail Account Manager, Vendor Success Program (VSP) Retail Account Management (RAM)",Souq.com for E-Commerce LLC -,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"IT/Software Development,Sales/Retail,sales,sales skills,marketing,customer service,retail,management,project management"
146,Financial Auditor (borg Alarab - Alexandria),Pharaonia Pharma -,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Financial Auditing,Financial Analysis,Pharmaceutical Industry,industrial,Auditing,Financial,English"
147,Site Accountant,Brilliant Engineering -,"Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Accounting/Finance,Administration,Accounting,Construction,Finance,Site,Financial Analysis,ERP"
148,Accountant,Confidential -,"Maadi, Cairo, Egypt ",Full Time,Experienced,4+ Yrs of Exp,"Accounting/Finance,accountant,Accounting,Finance,Financial Analysis"
149,General Accountant,Chemitex Egypt for Trading & Agencies S.A.E. -,"6th of October, Giza, Egypt ",Full Time,Experienced,4+ Yrs of Exp,"Accounting/Finance,Financial Management,Financial Analysis,Finance,Accounting,English,Arabic,Microsoft Office"
150,Cost and Financial Reports Department Manager,Sinamix -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Operations/Management,Financial Analysis,Finance,Accounting,Financial Management"
151,Finance Manager (Manufacturing industry),Outservingplus -,"Badr City, Cairo, Egypt ",Full Time,Manager,10 - 20 Yrs of Exp,"Manufacturing/Production,Financial Management,Accounting,Communication,CPA,Finance,Financial,Financial Analysis,CFA,Financial Statistics"
152,Financial Assistant,Mico World Limited -,"Maadi, Cairo, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,"Accounting/Finance,Administration,Operations/Management,Accounting,Finance,Financial Analysis,excel,English,Financial Management,MS Office"
153,Senior General Accountant,Confidential -,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Accounting,business,Financial,Financial Analysis"
154,Debt Collection Officer,Confidential -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"Accounting/Finance,Accounting,Collection,Commerce,Finance,Debt Management,Finance Analysis,Finance Management,debt"
155,General Accountant,Alkhalig Medical Company -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Commerce,English,MS Office,Finance,Financial Analysis,Communication,Financial Management,Accounting Software"
156,Accountant,eelu -,"Giza, Egypt ",Full Time,Experienced,3 - 12 Yrs of Exp,"Accounting/Finance,Accounting,Accounting Software,Financial Analysis"
157,Business Analyst,Confidential -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 15 Yrs of Exp,"Business Development,IT/Software Development,Analysis,BI,business,Business Analysis,SQL,Tableau"
158,Senior Data Analyst,Sceel.io -,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Analysis,Analyst,BI,Communication skills,Computer Science,Data,Data Analysis"
159,Senior Accountant,Femex Egypt -,"Sheraton, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Accounting/Finance,Finance,Budgeting,Financial Analysis"
160,Accountant ( General Ledger),Digitology -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Accounting,Digital Advertising,Financial Analysis"
161,Accounts Payable Associate - Night Shift,GlassQbe  -,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Accounting,XERO,QuickBooks,MYOB,Microsoft Excel,General Ledger,Bookkeeping,Balance Sheet,English"
162,AR Accountant (Junior),Mozare3 -,"Sheikh Zayed, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,AR,AR Accountant,Finance,Financial Analysis,SAP,Accounting,accountant,MS Office,English"
163,Market Quality Engineer - Alexandria & Delta,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) -,"Alexandria, Egypt ",Full Time,Experienced,1 - 4 Yrs of Exp,"Quality,Engineering - Mechanical/Electrical,Quality Control,Quality Assurance,Electro-mechanical,Mechanical Engineering,After Sale,Market Analysis,Market Research,Automotive"
164,Accountant Teamleader,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,Manager,7+ Yrs of Exp,"Accounting/Finance,Operations/Management,Accounting,Finance,Financial Accounting,Financial Analysis,Financial Services,Finance Analysis,Finance Management,accountant"
165,Internal Audit Manager,Seha Healthcare -,"Maadi, Cairo, Egypt ",Full Time,Manager,4 - 7 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Auditing,Financial Analysis,Manager,Internal audit"
166,Financial Analyst,Acino -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Banking,Analyst/Research,Finance,Financial Analysis,Accounting,Commerce,Microsoft Office,Financial Management,Analysis"
167,Payable Accountant,Raya Holding for Financial Investments -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Banking,Hospitality/Hotels/Food Services,Finance,Accounting,Accounts Payable,Financial Analysis,Commerce,Financial Management,Microsoft Office"
168,Product Manager,Al Ahly Momkn for e-payment -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Analysis,Product Management,Information Technology (IT),Engineering,Computer Science,Computer Engineering,Product"
169,General Accountant,SF Egypt -,"Garden City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_only,Accounting/Finance,Banking,Communication,English,Finance,Financial Analysis,Financial Management,excel,office,QuickBooks"
170,Accountant,Global Advanced Systems -,"Sheraton, Cairo, Egypt ",Full Time,Experienced,0 - 5 Yrs of Exp,"Accounting/Finance,Accounting,accountant,General Ledger,Financial Management,Financial Analysis,Finance,analytical,excel,Microsoft Office"
171,Accountant,Sahara Printing Company -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance,Accounting,analytical,Computer Skills,Finance,Financial Analysis,Financial Management,Mathematics"
172,Junior Cost Analyst,Saint-Gobain -,"Ain Sokhna, Suez, Egypt ",Full Time,Entry Level,2 - 5 Yrs of Exp,"Accounting/Finance,Cost Analyst,Finance,Financial Analysis,SAP,Costing,English,Analysis"
173,CEO Executive Assistant-Cairo (EX. MULTINATIONAL COMPANIES MUST),STIO Life Science -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Administration,Operations/Management,Pharmaceutical,Admin,Administration,Analysis,AUC,business,Business Administration,Business Development"
174,IT Manager,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"IT/Software Development,Project/Program Management,Engineering - Telecom/Technology,Analysis,Administration,Computer Engineering,Computer Hardware,Computer Science,Information Technology (IT),Management"
175,MRP and Planning Specialist,El Teriak Industrial Group -,"Giza, Egypt ",Full Time,Experienced,5 - 15 Yrs of Exp,"Logistics/Supply Chain,Manufacturing/Production,Purchasing/Procurement,Logistics,Supply Chain,Engineering,Inventory,Materials,MRP,Planning"
176,Accountant Safaga residence,Ibramar shipping Co -,"Safaga, Red Sea, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_only,Accounting/Finance,Banking,Commerce,Accounting,Finance,Shipping,Oracle Financial E-Business,Auditing,Communication skills,English"
177,Accounting Supervisor,Ramtrade -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance,Banking,Analyst/Research,Accounting,Accounts Payable,Finance,Microsoft Office,Purchasing,English,analytical"
178,Sr. Payable Accountant - Construction,Seldar Egypt -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 6 Yrs of Exp,"Accounting/Finance,Accounts Payable,Construction,Finance,Real Estate,Financial Analysis,Accounting,English,excel"
179,Financial Accounts Analyst,Guillam -,"Alexandria, Egypt ",Full Time,Entry Level,1+ Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Finance,Budgeting,Research,Administration,Financial Analysis,Financial Management,English"
180,"Senior Accountant ( Payables, Receivables )",Confidential -,"Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Financial Analysis,Oracle,Taxes,ERP,Software,General Ledger (GL)"
181,Account Manager - Property,On-Hire -,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"Marketing/PR/Advertising,Sales/Retail,Sales,Sales Skills,Customer Service,Sales Target,Customer Support,Customer Care,Account Management"
182,Resource Analyst 3-Ops,Oracle - Egypt -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Analyst/Research,Engineering - Telecom/Technology,information technology (it),computer science,business analysis,analysis,business,oracle,reporting"
183,Machine Learning Engineering Manager,Yassir -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Analyst/Research,Engineering - Telecom/Technology,Python,Computer Science,Machine Learning,Information Technology (IT),Software Engineering,C++,Mathematics"
184,Resource Analyst 2-Ops,Oracle - Egypt -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Analyst/Research,Engineering - Telecom/Technology,information technology (it),computer science,analysis,project management,consulting,management,reporting"
